	verdict	intersection
123	198771.json	['74', '147', '361', '603', '616', '646', '680', '696', '714', '788', '958', '1096', '1119', '1132', '1158', '1377']
124	198772.json	['89', '96', '111', '112', '121', '126', '141', '203', '214', '224', '229', '269', '290', '319', '437', '454', '477', '502', '515', '539', '545', '561', '584', '691', '698', '791', '807', '826', '836', '874', '993', '1026', '1064', '1078', '1086', '1102', '1114', '1126', '1136', '1143', '1144', '1153', '1159', '1161', '1164', '1173', '1186', '1200', '1207', '1220', '1246', '1285', '1338', '1356', '1367', '1376']
125	198773.json	['37', '89', '112', '121', '126', '203', '214', '224', '269', '319', '345', '437', '454', '477', '502', '545', '561', '584', '610', '635', '637', '691', '698', '795', '836', '859', '874', '958', '993', '1000', '1026', '1046', '1065', '1078', '1102', '1126', '1136', '1154', '1159', '1161', '1173', '1200', '1220', '1246', '1335', '1338', '1367', '1376']
126	198775.json	['178', '256', '779', '1337']
127	198776.json	['86', '116', '241', '264', '510', '871', '946', '983', '1155']
128	198778.json	['241', '398', '591', '629', '662', '705', '797', '940', '979', '1221', '1277']
129	198779.json	['530', '770', '979', '1082', '1250', '1348']
130	198780.json	['48', '73', '92', '154', '155', '241', '264', '367', '411', '447', '510', '537', '543', '591', '659', '662', '702', '733', '797', '818', '871', '979', '983', '996', '1007', '1093', '1096', '1109', '1155', '1181', '1277', '1375']
131	198781.json	['37', '165', '236', '248', '266', '279', '325', '345', '361', '400', '408', '417', '470', '494', '506', '541', '542', '577', '605', '610', '625', '637', '653', '691', '767', '857', '859', '1000', '1026', '1046', '1051', '1054', '1056', '1065', '1146', '1158', '1159', '1162', '1196']
132	198782.json	['236', '266', '408', '463', '470', '610', '637', '694', '704', '806', '859', '964', '1046', '1056']
133	198783.json	['89', '112', '121', '126', '141', '203', '214', '224', '269', '319', '437', '454', '477', '502', '515', '545', '561', '584', '691', '698', '836', '874', '993', '1000', '1026', '1064', '1065', '1102', '1114', '1126', '1136', '1143', '1153', '1159', '1161', '1164', '1173', '1186', '1200', '1207', '1220', '1246', '1259', '1285', '1338', '1367', '1376']
134	198784.json	['15', '147', '417', '616', '788', '1056', '1156', '1158', '1377']
135	198785.json	['38', '73', '86', '92', '109', '157', '179', '196', '256', '411', '524', '543', '736', '996', '1019', '1109', '1141', '1181', '1248', '1253', '1302']
136	198786.json	['7', '19', '44', '58', '107', '182', '219', '235', '244', '276', '307', '336', '347', '368', '385', '412', '465', '507', '513', '530', '606', '617', '640', '695', '833', '843', '886', '914', '1037', '1085', '1138', '1239', '1308', '1350']
137	198787.json	['431', '591', '639', '724', '762', '797', '850', '979', '999', '1003']
138	198789.json	['203', '345', '448', '489', '691', '788', '795', '885', '953', '1000', '1026', '1046', '1065', '1158', '1159', '1161', '1286']
139	198790.json	['117', '362', '679']
140	198791.json	['15', '236', '403', '417', '438', '448', '494', '788', '859', '953', '964', '1046', '1056', '1158', '1377']
141	198792.json	['19', '167', '228', '246', '323', '328', '346', '371', '404', '456', '474', '484', '554', '607', '688', '785', '804', '927', '941', '959', '965', '1231', '1255', '1281']
142	198793.json	['398', '428', '591', '797', '979', '1082', '1226']
143	198794.json	['15', '92', '438', '448', '616', '680', '714', '893', '953', '964', '1056', '1113', '1158', '1377']
144	198795.json	['15', '86', '438', '616', '893', '946', '952', '953', '1071', '1119']
145	198796.json	['6', '38', '256', '258', '524', '741', '843', '1179']
146	198797.json	['102', '362', '629', '666', '679', '705', '797', '1082']
147	198799.json	['73', '86', '92', '241', '797', '850', '979', '996', '1007', '1277']
148	198802.json	['1', '6', '19', '178', '256', '336', '347', '410', '430', '433', '465', '500', '513', '785', '951', '1231', '1234', '1255', '1279', '1311', '1350']
149	198803.json	['6', '23', '242', '478', '1085', '1179', '1337']
150	198804.json	['73', '86', '92', '154', '155', '241', '398', '411', '510', '591', '616', '662', '702', '797', '818', '850', '996', '1007', '1033', '1109', '1253', '1319']
151	198807.json	['430', '500', '513', '785', '886', '1059']
152	198808.json	['269', '837', '854', '999']
153	198809.json	['38', '235', '258', '276', '430', '530', '741', '843', '871', '983', '1019', '1155', '1277']
154	198810.json	['34', '83', '189', '273', '487', '504', '590', '645', '664', '675', '712', '762', '952', '990', '999', '1071', '1317']
